n,trial,flops,time_sec,mflops
100,1,1990000,7.4209e-05,26816.2
100,2,1990000,6.575e-05,30266.2
100,3,1990000,6.5375e-05,30439.8
200,1,15960000,0.000518291,30793.5
200,2,15960000,0.000517875,30818.2
200,3,15960000,0.0005425,29419.4
400,1,127840000,0.00490775,26048.6
400,2,127840000,0.00505158,25306.9
400,3,127840000,0.00474025,26969.0
600,1,431640000,0.0127013,33984.1
600,2,431640000,0.0125974,34264.2
600,3,431640000,0.0131182,32903.8
800,1,1023360000,0.032031,31949.0
800,2,1023360000,0.0324762,31511.1
800,3,1023360000,0.031111,32893.8
1000,1,1999000000,0.0578711,34542.3
1000,2,1999000000,0.0600767,33274.1
1000,3,1999000000,0.0588895,33945.0
1200,1,3454560000,0.0975063,35429.1
1200,2,3454560000,0.0991728,34833.8
1200,3,3454560000,0.100802,34270.6
