n,threads,trial,flops,time_sec,mflops
200,1,1,15960000,0.0009915,16096.8
200,1,2,15960000,0.000941875,16944.9
200,1,3,15960000,0.00100263,15918.2
200,2,1,15960000,0.0008415,18966.1
200,2,2,15960000,0.000857875,18604.1
200,2,3,15960000,0.000784084,20355.0
200,4,1,15960000,0.000695041,22962.7
200,4,2,15960000,0.000594792,26832.9
200,4,3,15960000,0.000649917,24557.0
200,8,1,15960000,0.000702167,22729.6
200,8,2,15960000,0.000629208,25365.2
200,8,3,15960000,0.000623208,25609.4
400,1,1,127840000,0.00534529,23916.4
400,1,2,127840000,0.00529029,24165.0
400,1,3,127840000,0.00515654,24791.8
400,2,1,127840000,0.00360092,35502.1
400,2,2,127840000,0.0036215,35300.3
400,2,3,127840000,0.00366058,34923.4
400,4,1,127840000,0.00255038,50126.0
400,4,2,127840000,0.00295875,43207.4
400,4,3,127840000,0.00302479,42264.1
400,8,1,127840000,0.00236746,53998.8
400,8,2,127840000,0.00208175,61409.9
400,8,3,127840000,0.00221046,57834.2
800,1,1,1023360000,0.0332867,30743.8
800,1,2,1023360000,0.0325884,31402.6
800,1,3,1023360000,0.0339583,30135.8
800,2,1,1023360000,0.0183481,55774.6
800,2,2,1023360000,0.0185051,55301.4
800,2,3,1023360000,0.0192895,53052.6
800,4,1,1023360000,0.0119807,85417.6
800,4,2,1023360000,0.0118468,86382.9
800,4,3,1023360000,0.0121605,84154.1
800,8,1,1023360000,0.00801708,127647.0
800,8,2,1023360000,0.00874471,117026.0
800,8,3,1023360000,0.00870317,117585.0
1200,1,1,3454560000,0.102913,33567.9
1200,1,2,3454560000,0.10283,33595.0
1200,1,3,3454560000,0.103087,33511.3
1200,2,1,3454560000,0.0664152,52014.6
1200,2,2,3454560000,0.0614215,56243.5
1200,2,3,3454560000,0.0652385,52952.7
1200,4,1,3454560000,0.0409346,84392.1
1200,4,2,3454560000,0.0434607,79487.0
1200,4,3,3454560000,0.0454962,75930.7
1200,8,1,3454560000,0.0255651,135128.0
1200,8,2,3454560000,0.0269301,128279.0
1200,8,3,3454560000,0.0256242,134816.0
1600,1,1,8189440000,0.246794,33183.3
1600,1,2,8189440000,0.244893,33440.9
1600,1,3,8189440000,0.25081,32652.0
1600,2,1,8189440000,0.16407,49914.3
1600,2,2,8189440000,0.150976,54243.4
1600,2,3,8189440000,0.145008,56475.9
1600,4,1,8189440000,0.0993395,82438.9
1600,4,2,8189440000,0.0890405,91974.4
1600,4,3,8189440000,0.0866639,94496.5
1600,8,1,8189440000,0.0650666,125862.0
1600,8,2,8189440000,0.0592712,138169.0
1600,8,3,8189440000,0.0565367,144852.0
2000,1,1,15996000000,0.48178,33201.9
2000,1,2,15996000000,0.496713,32203.7
2000,1,3,15996000000,0.488588,32739.2
2000,2,1,15996000000,0.31056,51506.9
2000,2,2,15996000000,0.324159,49346.2
2000,2,3,15996000000,0.298337,53617.3
2000,4,1,15996000000,0.184565,86668.6
2000,4,2,15996000000,0.190591,83928.2
2000,4,3,15996000000,0.189704,84320.9
2000,8,1,15996000000,0.127019,125934.0
2000,8,2,15996000000,0.131584,121565.0
2000,8,3,15996000000,0.112215,142547.0
