n,procs,trial,flops,time_sec,mflops
100,1,1,1990000,0.013000,153.077
200,1,1,15960000,0.088000,181.364
400,1,1,127840000,0.717000,178.298
500,1,1,249750000,1.425000,175.263
1000,1,1,1999000000,10.120000,197.530
2000,1,1,15996000000,115.980000,137.920
4000,1,1,127984000000,776.100000,164.907
100,2,1,1990000,0.007000,284.286
200,2,1,15960000,0.044000,362.727
400,2,1,127840000,0.361000,354.127
500,2,1,249750000,0.718000,347.841
1000,2,1,1999000000,5.060000,395.059
2000,2,1,15996000000,58.560000,273.156
4000,2,1,127984000000,404.000000,316.792
100,4,1,1990000,0.005000,398.000
200,4,1,15960000,0.023000,693.913
400,4,1,127840000,0.183000,698.579
500,4,1,249750000,0.363000,688.017
1000,4,1,1999000000,3.490000,572.779
2000,4,1,15996000000,29.220000,547.433
4000,4,1,127984000000,249.450000,513.065
100,8,1,1990000,0.003000,663.333
200,8,1,15960000,0.013000,1227.692
400,8,1,127840000,0.095000,1345.684
500,8,1,249750000,0.190000,1314.474
1000,8,1,1999000000,1.860000,1074.731
2000,8,1,15996000000,15.070000,1061.447
4000,8,1,127984000000,126.190000,1014.217
100,10,1,1990000,0.002000,995.000
200,10,1,15960000,0.011000,1450.909
400,10,1,127840000,0.077000,1660.260
500,10,1,249750000,0.165000,1513.636
1000,10,1,1999000000,1.490000,1341.611
2000,10,1,15996000000,12.130000,1318.714
4000,10,1,127984000000,101.920000,1255.730
100,20,1,1990000,0.001000,1990.000
200,20,1,15960000,0.006000,2660.000
400,20,1,127840000,0.042000,3043.810
500,20,1,249750000,0.074000,3375.000
1000,20,1,1999000000,0.620000,3224.194
2000,20,1,15996000000,4.800000,3332.500
4000,20,1,127984000000,45.550000,2809.748
100,40,1,1990000,0.001000,1990.000
200,40,1,15960000,0.005000,3192.000
400,40,1,127840000,0.020000,6392.000
500,40,1,249750000,0.041000,6091.463
1000,40,1,1999000000,0.320000,6246.875
2000,40,1,15996000000,2.470000,6476.113
4000,40,1,127984000000,30.370000,4214.159
