n,procs,trial,flops,time_sec,mflops
200,1,1,15960000,0.0005,31920.0
200,1,2,15960000,0.00047,33957.4
200,2,1,15960000,0.000264,60454.5
200,2,2,15960000,0.000275,58036.4
200,4,1,15960000,0.000321,49719.6
200,4,2,15960000,0.00014,114000.0
200,8,1,15960000,0.000184,86739.1
200,8,2,15960000,0.000165,96727.3
400,1,1,127840000,0.003678,34758.0
400,1,2,127840000,0.003344,38229.7
400,2,1,127840000,0.001729,73938.7
400,2,2,127840000,0.001757,72760.4
400,4,1,127840000,0.000935,136727.0
400,4,2,127840000,0.001253,102027.0
400,8,1,127840000,0.001312,97439.0
400,8,2,127840000,0.001383,92436.7
800,1,1,1023360000,0.027496,37218.5
800,1,2,1023360000,0.027968,36590.4
800,2,1,1023360000,0.013919,73522.5
800,2,2,1023360000,0.014856,68885.3
800,4,1,1023360000,0.008213,124602.0
800,4,2,1023360000,0.007614,134405.0
800,8,1,1023360000,0.011334,90291.2
800,8,2,1023360000,0.012341,82923.6
