n,procs,time_sec
100,1,0.013
200,1,0.088
400,1,0.717
500,1,1.425
1000,1,10.12
2000,1,115.98
4000,1,776.10
100,2,0.007
200,2,0.044
400,2,0.361
500,2,0.718
1000,2,5.06
2000,2,58.56
4000,2,404.00
100,4,0.005
200,4,0.023
400,4,0.183
500,4,0.363
1000,4,3.49
2000,4,29.22
4000,4,249.45
100,8,0.003
200,8,0.013
400,8,0.095
500,8,0.190
1000,8,1.86
2000,8,15.07
4000,8,126.19
100,10,0.002
200,10,0.011
400,10,0.077
500,10,0.165
1000,10,1.49
2000,10,12.13
4000,10,101.92
100,20,0.001
200,20,0.006
400,20,0.042
500,20,0.074
1000,20,0.62
2000,20,4.80
4000,20,45.55
100,40,0.001
200,40,0.005
400,40,0.020
500,40,0.041
1000,40,0.32
2000,40,2.47
4000,40,30.37
